Grid Cell ID,Area,Site (MPA/ REF),Old/New,Lat Center Point,Lon Center Point,Lat 1,Lon 1,Lat 2,Lon 2,Lat 3,Lon 3,Lat 4,Lon 4,Cell Sampled 2017,Cell Sampled 2007,Cell Sampled 2008,Cell Sampled 2009,Cell Sampled 2010,Cell Sampled 2011,Cell Sampled 2012,Cell Sampled 2013,Cell Sampled 2014,Cell Sampled 2015,Cell Sampled 2016,Cell Sampled 2018,Cell Sampled 2019,Cell Sampled 2020,Cell Sampled 2021,Cell Sampled 2022,Cell Sampled 2023,Cell Sampled 2024,Cell Sampled 2025
AI01,AI,MPA,OLD,34.02153,-119.36680,34.01890,-119.36894,34.02332,-119.36996,34.02417,-119.36465,34.01974,-119.36363,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI02,AI,MPA,OLD,34.01849,-119.37159,34.02058,-119.37477,34.02115,-119.36947,34.01673,-119.36840,34.01584,-119.37370,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI03,AI,MPA,OLD,34.01771,-119.37954,34.01894,-119.38306,34.02064,-119.37805,34.01647,-119.37601,34.01477,-119.38102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI04,AI,MPA,OLD,34.01170,-119.39236,34.00950,-119.39512,34.01410,-119.39502,34.01392,-119.38961,34.00942,-119.38971,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI05,AI,MPA,OLD,34.01620,-119.38493,34.01750,-119.38842,34.01911,-119.38337,34.01491,-119.38143,34.01329,-119.38648,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI06,AI,MPA,OLD,34.01903,-119.35985,34.01710,-119.36289,34.02156,-119.36217,34.02097,-119.35681,34.01650,-119.35753,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI07,AI,MPA,NEW,34.01938,-119.44076,34.01721,-119.44355,34.02171,-119.44336,34.02155,-119.43796,34.01705,-119.43815,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI08,AI,MPA,NEW,34.01838,-119.43472,34.02018,-119.43787,34.02100,-119.43255,34.01657,-119.43157,34.01575,-119.43689,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI09,AI,MPA,NEW,34.01815,-119.42742,34.02009,-119.43046,34.02068,-119.42510,34.01622,-119.42439,34.01563,-119.42975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
AI10,AI,REF,,34.02031,-119.35357,34.02251,-119.35080,34.01801,-119.35093,34.01812,-119.35634,34.02262,-119.35621,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI11,AI,REF,,34.01315,-119.35170,34.01246,-119.34797,34.01004,-119.35252,34.01383,-119.35544,34.01626,-119.35088,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI12,AI,REF,,34.01035,-119.35666,34.00731,-119.35781,34.01130,-119.36031,34.01339,-119.35552,34.00940,-119.35302,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI13,AI,REF,,33.99995,-119.40650,34.00291,-119.40793,34.00114,-119.40296,33.99700,-119.40508,33.99877,-119.41005,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
AI14,AI,REF,,34.00103,-119.41554,34.00309,-119.41846,34.00347,-119.41307,33.99898,-119.41261,33.99860,-119.41800,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI15,AI,REF,,34.00557,-119.43906,34.00242,-119.43965,34.00606,-119.44284,34.00871,-119.43847,34.00508,-119.43528,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI16,AI,REF,,34.00822,-119.37113,34.00962,-119.37457,34.01109,-119.36945,34.00682,-119.36770,34.00536,-119.37281,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI17,AI,REF,,34.00200,-119.38491,34.00272,-119.38864,34.00511,-119.38405,34.00129,-119.38119,33.99890,-119.38577,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AI18,AI,MPA,,34.01054,-119.40946,34.01404,-119.41031,34.01075,-119.40604,34.00704,-119.40862,34.01033,-119.41289,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
AIMM,AI,MPA,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIRR,AI,REF,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AN01,AN,REF,,37.24250,-122.42725,37.24475,-122.43002,37.24475,-122.42448,37.24025,-122.43002,37.24025,-122.42448,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
AN02,AN,REF,,37.23734,-122.42650,37.23958,-122.42927,37.23958,-122.42373,37.23508,-122.42927,37.23508,-122.42373,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AN03,AN,REF,,37.23175,-122.42533,37.23400,-122.42810,37.23400,-122.42257,37.22950,-122.42810,37.22950,-122.42257,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
